"Refined","PlaytimeHours","Level","TimeCreated","SearchTerm","Page","Link","ID","Visibility","LastLogoff","Vanity","CountryCode"
"Private profile or doesn't play TF2","Unknown",102,"4 Jun 2016 18:29:7","asd","1","https://steamcommunity.com/id/redrumoy","76561198308297067","Friends of Friends","Unknown",true,"RU"
"Private profile or doesn't play TF2","Unknown",114,"3 Jan 2018 22:24:28","asd","1","https://steamcommunity.com/id/VlSUAL","76561198802439124","Friends of Friends","Unknown",true,"Unknown"
"Private profile or doesn't play TF2","Unknown",84,"25 Jul 2017 19:7:14","asd","1","https://steamcommunity.com/id/iRiNaPoSoSi","76561198406944250","Friends of Friends","Unknown",true,"JP"
8.465000000000002,676.7833333333333,114,"3 Nov 2007 19:32:24","asd","1","https://steamcommunity.com/id/lerby","76561197993962614","Friends of Friends","Unknown",true,"Unknown"
"Private profile or doesn't play TF2","Unknown",116,"6 Dec 2014 14:8:38","asd","1","https://steamcommunity.com/id/xieyj","76561198166672878","Friends of Friends","Unknown",true,"Unknown"
"Private profile or doesn't play TF2","Unknown",172,"31 Oct 2017 10:41:53","asd","1","https://steamcommunity.com/id/maxkray_","76561198441015293","Friends of Friends","Unknown",true,"TD"
6.394999999999997,18.55,90,"17 Feb 2011 20:15:57","asd","1","https://steamcommunity.com/profiles/76561198038307626","76561198038307626","Friends of Friends","Unknown",false,"UA"
1.7500000000000002,"Unknown",88,"6 Jul 2010 23:9:24","asd","1","https://steamcommunity.com/id/nakedpistol123","76561198027401147","Friends of Friends","Unknown",true,"Unknown"
"Private profile or doesn't play TF2","Unknown",64,"30 Mar 2019 0:38:52","asd","1","https://steamcommunity.com/profiles/76561198946388058","76561198946388058","Friends of Friends","Unknown",false,"Unknown"
"Private profile or doesn't play TF2","Unknown",82,"9 Jan 2015 19:31:14","asd","1","https://steamcommunity.com/id/asd_lsd_72","76561198172995587","Friends of Friends","Unknown",true,"Unknown"
"Private profile or doesn't play TF2","Unknown",78,"13 Jun 2019 16:35:42","asd","1","https://steamcommunity.com/id/Vladmasik1","76561198969666391","Friends of Friends","Unknown",true,"GB"
"Private profile or doesn't play TF2","Unknown",126,"31 Aug 2010 14:26:41","asd","1","https://steamcommunity.com/profiles/76561198029857252","76561198029857252","Friends of Friends","Unknown",false,"IN"
97.64260106382976,"Unknown",111,"21 Jan 2008 19:36:58","asd","1","https://steamcommunity.com/profiles/76561197996012774","76561197996012774","Friends of Friends","Unknown",false,"RO"
0.8400000000000003,"Unknown",101,"11 Aug 2017 22:24:58","asd","1","https://steamcommunity.com/id/4sD-","76561198411452825","Friends of Friends","Unknown",true,"Unknown"
942.6000000000003,2.783333333333333,,"23 Dec 2012 20:57:6","asd","1","https://steamcommunity.com/id/Randhy","76561198079175528","Friends of Friends","Unknown",true,"VE"
0.15000000000000002,"Unknown",75,"20 Nov 2003 6:8:29","asd","1","https://steamcommunity.com/id/maduncleasd","76561197962887552","Friends of Friends","Unknown",true,"Unknown"
"Private profile or doesn't play TF2","Unknown",56,"4 Mar 2018 21:14:26","asd","1","https://steamcommunity.com/profiles/76561198820124594","76561198820124594","Friends of Friends","Unknown",false,"RU"
"Private profile or doesn't play TF2",11.55,99,"30 May 2013 19:37:41","asd","1","https://steamcommunity.com/id/495qed","76561198093018889","Friends of Friends","Unknown",true,"Unknown"
"Private profile or doesn't play TF2","Unknown",74,"11 Jun 2018 6:48:59","asd","1","https://steamcommunity.com/profiles/76561198840736951","76561198840736951","Friends of Friends","Unknown",false,"CN"
"Private profile or doesn't play TF2","Unknown",,"Unknown","asd","1","https://steamcommunity.com/id/fuckinfreakin","76561197998472113","Friends only","Unknown",true,"Unknown"
